index,orig_index,summary,protagonist,protagonist_type,antagonist,central_topic,valence,moral,moral+,moral-
10,15,"An enchantress, fearing her sons would steal her power, transformed the eldest into an eagle and the second into a whale, each retaining their human form for only two hours daily. The youngest son, fearing a similar fate, embarked on a quest to free a bewitched princess imprisoned in the Castle of the Golden Sun. After failing to find the castle, he encountered two giants disputing over a wishing-cap, which he cleverly acquired and used to reach the castle. There, he met the princess, who appeared old and ugly to human eyes but revealed her true beauty through a mirror. She informed him that to free her and defeat the enchanter holding her captive, he must obtain a crystal ball located inside an egg, which was inside a fiery bird that would emerge from a wild bull he had to slay. With the help of his brothers, the eagle and the whale, he retrieved the egg, secured the crystal ball, and confronted the enchanter, destroying his power. The youth then restored his brothers to their human forms and married the princess, becoming the king of the Castle of the Golden Sun.",youngest son,hero,enchantress,the quest to break a curse and free a bewitched princess,4,"Courage, cleverness, and perseverance can overcome even the most daunting challenges and lead to true love and happiness",Bravery and ingenuity,Distrust and misuse of power
11,16,"A king embarked on a long voyage, leading to an island where his men battled lions and discovered a garden with magical springs and a speaking lake. Warned by the lake of a seven-headed serpent king, the men avoided immediate death by laying their clothes for the serpent to glide over, but were tasked with sacrificing twelve youths and twelve maidens annually to the beast. This grim tribute continued until the king and queen, childless and despairing, were promised a child by an old woman in exchange for an apple. The queen bore a son, who grew up with a magical horse born from the apple's rind. Upon reaching adulthood and learning of his kingdom's plight, the prince, advised by his horse and an old abbess who revealed herself as the orchestrator of his birth, embarked on a quest to slay the serpent. Armed with a special sword and strategic advice from the abbess, the prince successfully killed the beast, freeing his country from its terror.",prince,hero,seven headed serpent,overcoming tyranny,4,Courage and determination can overcome even the most formidable challenges,Bravery and perseverance,Imposing tyranny
12,17,"In a tale of wonder and retribution, a childless couple's prayers are answered when they are blessed with a daughter who cries pearls and smiles flowers. A prince, enchanted by her unique gifts, decides to marry her despite his father's initial objections, swayed by her exquisite embroidery. However, on their journey to the palace, a treacherous old woman replaces the girl with her own daughter, leaving the true bride blind and abandoned in a cavern. The forsaken girl, still able to weep pearls and now regained sight through her cunning, eventually embroiders a handkerchief so fine that it catches the prince's attention when an old man, who had taken her in, wears it to a royal dinner. Recognizing the embroidery, the prince reunites with his true bride, relegating the impostor to a life of menial labor. The story weaves themes of love, betrayal, and justice, culminating in the rightful restoration of the prince's bride.",girl,victim,old woman,betrayal and redemption,2,"True virtue and innocence, despite facing betrayal and suffering, will ultimately be recognized and rewarded",Perseverance in the face of adversity,Betrayal
13,18,"A wolverine, seeking amusement, challenges a large rock to catch him, believing it impossible since rocks cannot walk. However, the rock, claiming it can roll, chases the wolverine down a mountain. Despite the wolverine's efforts to escape, he trips and falls, trapping his legs under the rock. After his calls for help only result in mockery from other animals and their failure to move the rock, he summons lightning, which frees him but destroys his coat. Seeking to repair it, he first turns to his sister the frog, who botches the job, and then to his sister the mouse, who successfully mends it. Later, starving, the wolverine deceives a bear by claiming they are siblings and promising to improve her eyesight with cranberries. When the bear is blinded by the juice, the wolverine kills her, skins her, and enjoys a meal, contemplating using the same trick in the future if necessary.",wolverine,villain,none,deception and consequences,2,Deceit and seeking amusement at the expense of others can lead to unforeseen consequences and personal harm,Honesty and kindness,Deception
14,19,"In a tale of extraordinary sacrifice and rivalry, King Karan, who vowed not to eat until he had given away a hundredweight of gold in charity each day, maintained his wealth through a secret pact with a faqir. This pact involved Karan being fried and eaten by the faqir daily, only to be magically restored to life, ensuring a continuous supply of gold. However, when Karan became envious of King Bikramâjît, praised by swans for his generosity in feeding them pearls, he captured the swans, leading to a series of events where Bikramâjît, disguised as Bikrû, discovered Karan's secret. Bikrû then tricked the faqir into eating him instead, after preparing himself with spices, and negotiated the magical coat that produced gold, leaving Karan without his source of wealth. Despite Karan's despair and refusal to break his vow even when faced with starvation, Bikramâjît offered him a solution in exchange for the swans' freedom, proving his superior generosity and earning the swans' praise, while teaching Karan a lesson in humility and the true essence of generosity.",king karan,"victim, villain",bikramâjît,generosity and rivalry,3,"True generosity is selfless and seeks no reward, contrasting with actions driven by vanity or the desire for recognition",Selflessness,Jealousy
15,20,"In a tale of unintended consequences and the protective nature of loyalty, an old man and woman, along with a little girl, live in a house made of hempstalks, guarded by a little dog named Turpie. Night after night, creatures called Hobyahs threaten to destroy their home and harm its inhabitants, but Turpie's vigilant barking keeps the attackers at bay. However, disturbed by the noise, the old man progressively mutilates Turpie, ultimately decapitating him, leaving the household vulnerable. Consequently, the Hobyahs fulfill their threats, destroying the home, consuming the old couple, and abducting the little girl. The girl's fate takes a turn when a man replaces her with his big dog in the bag the Hobyahs use to capture her. When the Hobyahs, expecting to torment the girl further, open the bag, the dog leaps out and eliminates them, ending their reign of terror and ensuring no future threats from the Hobyahs, illustrating a grim narrative of sacrifice, betrayal, and eventual retribution.",turpie,"hero, victim",hobyahs,consequences of disregarding loyalty,1,"Appreciate and protect those who are loyal and brave, as their actions may safeguard us from unforeseen dangers",Valuing loyalty,Disregarding loyalty
16,21,"A wealthy but childless countryman, mocked for his lack of offspring, wished for a child even if it were a hedgehog. His wish was granted in the form of Hans the Hedgehog, a boy with a hedgehog's upper body. Despite the initial shock and difficulty in caring for Hans, he grew up and asked his father for bagpipes and a shod cock to ride away on, never to return. Hans lived in the forest, herding swine and playing his bagpipes, which attracted the attention of two lost kings at different times. He helped each find their way home in exchange for the first thing they encountered upon their return, which happened to be their daughters. The first king tried to cheat Hans, leading to his daughter being sent back disgraced. The second king honored the agreement, and his daughter married Hans. On their wedding night, Hans shed his hedgehog skin, which was destroyed, turning him into a handsome young man. He eventually inherited the kingdom and reconciled with his father, proving that appearances can be deceiving and promises should be kept.",hans the hedgehog,"hero, victim",none,acceptance and transformation,3,True worth and happiness are found beyond appearances and promises should be honored,Keeping promises,Breaking promises
17,22,"In a story set long ago in the north-west, where Indians lived near a lake, a youth ventured deep into the forest to catch birds with large, bright-colored feathers for his arrows and bonnet. He constructed a pit trap on a hill in the Land of Many Feathers but caught no birds. Intrigued by a mysterious drumming sound, he followed it to a large lake but found no source. An old man appeared, giving him a wand to reveal the cause. Waving the wand before sleeping, the youth dreamt of animals and birds in human form, who revealed they were sent by the Great Spirit in response to his prayers. Each creature bestowed upon him a gift of their power, such as the Dog's protection, the Owl's night vision, and the Eagle's strength. Awakening with newfound abilities and a magic wand, the youth returned home, shared his experience, and introduced the Dog-Dance, a ceremony that strengthened and protected his people. This tale explains the origin of the Dog-Dance and the Indians' use of animal and bird motifs in their war attire, symbolizing the enduring friendship and gratitude between them and the natural world.",youth,hero,none,quest for knowledge and power,5,"Seeking understanding and connecting with the natural world can lead to unexpected gifts and strengths, fostering respect and gratitude between humans and nature",Seeking knowledge and harmony with nature,None
18,25,"The story is set around the year 1200 and revolves around Prince Llewellyn, who had a castle at Aber and was married to Princess Joan, King John's daughter. Llewellyn was an avid hunter, particularly of wolves that plagued Carnarvonshire. He had a favorite hound named Gelert, renowned for his hunting prowess. During a hunting trip, Llewellyn left his wife and child at a farmhouse in what is now called Beth-Gelert. Upon returning, he found Gelert beside an overturned cradle and blood everywhere, leading him to believe Gelert had killed his child. In a fit of rage, Llewellyn killed Gelert, only to discover afterward that the dog had actually saved his child by killing a wolf that had threatened it. Realizing his tragic mistake, Llewellyn was filled with remorse. Gelert was given a funeral and a grave, which led to the naming of the village Beth-Gelert, or Gelert's Grave, in his honor. This tale highlights themes of loyalty, sacrifice, and the tragic consequences of rash actions.",llewellyn,victim,none,misunderstanding and remorse,1,"Not act hastily in anger without understanding the situation fully, as it can lead to irreversible consequences and deep regret",Patience and investigation before action,Rash judgment
19,26,"On New Year's Eve, amidst celebrations and a cold, starry night, a mail coach arrives at a town gate, carrying twelve peculiar passengers, each representing a month of the year. January, a merchant dressed in furs, promises New Year's gifts and festivities. February, known as Prince Carnival, brings joy and the promise of carnival dances. March, a fasting figure related to the ""forty nights,"" carries the first signs of spring. April, a jovial character, introduces the unpredictability of weather and the start of the warmer seasons. May, a lady adorned with anemones and scented with wild thyme, symbolizes the beauty and song of the woods. June, a delicate and proud young woman, brings the laziness of summer days. July, clad in summer attire, represents the peak of summer with minimal luggage due to the heat. August, a robust figure, is a fruit dealer and cultivator, emphasizing hard work and harvest celebrations. September, the painter of autumn's colors, changes the forest into a spectacle of red, gold, and brown. October, a squire fond of field sports, brings the harvest and the start of the colder seasons. November, a master sawyer, prepares for winter with his cough and crafting of skates. December, an old woman with a fir-tree, promises the warmth and joy of Christmas. Each month, with their unique characteristics and gifts, contributes to the cycle of the year, reflecting the passage of time and the changing seasons, leaving the narrator to ponder what each will bring to the town and its people.",narrator,none,none,passage of time and seasons,5,"Embrace and celebrate the unique qualities and opportunities each month of the year brings, highlighting the cyclical nature of time and the importance of optimism and renewal",Embracing change,Resisting the passage of time
20,28,"Once upon a time, a king's son named Prince Kindhearted embarked on a journey to see the world and gain wisdom. During his travels, he saved an enchanted swan from an eagle, who revealed herself as the daughter of the Knight Invisible and offered her father's aid whenever needed. Venturing into a desert, the prince and his servant found themselves desperate for water. At a well, the servant betrayed the prince, forcing him to swap identities under threat of death. As the false prince, the servant sought the hand of a princess by promising to rid her kingdom of enemies. The true prince, with the help of the Knight Invisible, defeated the invading army. The princess, having witnessed the true prince's bravery and the servant's deceit, revealed the truth to her father. The false servant was exposed when he presented a note he thought would prove his identity but instead condemned him. Prince Kindhearted and the princess were married, and justice was served to the deceitful servant.",prince kindhearted,hero,servant,betrayal and heroism,4,"Kindness, bravery, and cleverness can overcome deceit and betrayal, leading to justice and happiness",Kindness and bravery,Betrayal
21,29,"Swanda, the Piper, known for his love of music, drink, and card games, finds himself unable to resist the temptation of playing for gold when approached by a mysterious man in black one night after a festival in Mokran. Following the man to a dark room, Swanda plays his pipe for three other men dressed similarly, all playing cards and drinking without replenishing their jug. His music enthralls them, and they reward him with handfuls of gold, which he accepts without thanks, as advised, only uttering ""Good luck, brother!"" However, come morning, Swanda is found playing atop a gallows, with no gold to be found. A peasant informs him that he had been playing for the devil and his minions, leading Swanda to renounce card playing forever. In gratitude for his escape from the devil's clutches, Swanda hangs his pipe in the church of his birthplace, Strakonic, where it becomes a proverbial reminder of his eerie encounter, rumored to be heard annually on the anniversary of that fateful night.",swanda,victim,man in black,temptation and redemption,2,"Succumbing to temptation can lead to perilous outcomes, but redemption is possible through repentance and change of behavior",Repentance and change of behavior,Succumbing to temptation
22,30,"In the story, the Laird of Colzean, known as the Laird o’ Co’, encounters a small boy who requests ale for his sick mother. The boy's small can, miraculously, cannot be filled by a half-barrel of ale, leading to astonishment and the eventual fulfillment of the request after much effort. Years later, when the Laird is imprisoned and facing execution in Flanders, the same dwarf boy reappears, miraculously freeing him and transporting him back to his home in Ayrshire as a repayment for the Laird's earlier kindness. The story encapsulates a theme of good deeds being rewarded, often in unexpected ways, and emphasizes the importance of kindness and generosity.",laird o’ co’,hero,none,kindness and its rewards,5,Acts of kindness and generosity can lead to unexpected and miraculous rewards,Generosity,None
23,31,"In a time long past, an impoverished old woman and her whimsical grandson lived in a small hut, their only possession being a cow. Facing dire poverty, the grandmother instructed the boy to sell the cow. On his way to market, he encountered an old woman who traded him three magical, dancing pigs and a flute for the cow. Despite his grandmother's despair over the trade, the boy, confident in his decision, used the pigs and flute to captivate a proud, young noblewoman, trading the pigs for food and affectionate gestures. When the noblewoman's parents sought a suitor who could identify three hidden marks on their daughter, the boy, knowing them from his intimate encounters, outsmarted other suitors and revealed the marks. Despite initial reluctance, the nobleman consented to their marriage due to the boy's cleverness and the pre-existing bond between the young couple, leading to a love-filled union.",boy,hero,none,cleverness and resourcefulness,5,Cleverness and the ability to think outside the box can lead to unexpected and rewarding outcomes,Thinking creatively,Dismissing unconventional solutions
24,33,"The story narrates the perspective of an individual who firmly believes that Plains Indians never made or used stone arrowheads, contrary to some claims by white men. This belief is supported by conversations with elderly Indians and the legend of ghost-people, as told by War Eagle, who supposedly crafted these arrowheads on a mystical island. The narrative also touches on the historical use of bone for tools and weapons, the evolution of trade with Europeans, and the craftsmanship of bows and arrows among Plains Indians. Additionally, it recounts a tale shared by War Eagle about OLD-man, a trickster figure, who convinces his brother, the Red Fox, to participate in a scheme to kill buffalo by making the Fox dance hairlessly to amuse them. The plan succeeds, but results in the Fox's death due to exposure to the cold, highlighting OLD-man's selfish nature. The story encapsulates themes of cultural heritage, the impact of European contact on indigenous peoples, and moral lessons from folklore.",narrator,none,none,cultural beliefs and historical practices of plains indians,3,"Be wary of selfishness and the consequences of deceit, as exemplified by old-man's actions leading to the red fox's death",Selflessness and honesty,Selfishness and deceit
25,36,"Andrew Coffey, a well-known and quiet man, finds himself lost in an unfamiliar part of the demesne on a cold, rainy March evening. Seeking shelter, he stumbles upon a mysterious cabin with a welcoming fire but no inhabitants. Suddenly, he hears his name being called by an invisible presence demanding a story, which leads to the appearance of Patrick Rooney, a man known to have died years prior. Frightened, Coffey flees but encounters a group of men preparing to roast Rooney over a fire. Coerced into tending the fire, Coffey tries to understand the situation but ends up running away again when Rooney threatens him. Exhausted and confused, Coffey finds himself back at the cabin, where the voice again demands a story. This time, Coffey recounts his bizarre experiences, only to fall asleep and wake up outside under the open sky, with his ordeal seemingly over and his horse by his side.",andrew coffey,victim,patrick rooney,supernatural encounter,2,Facing the unknown with courage can lead to overcoming fears and escaping seemingly impossible situations,Facing fears,Avoiding responsibility
26,39,"In Crete, at the foot of the Pseloretes, lived a youth named Kapetanakis, known for the enchanting music he played on his lyre. Orphaned and lonely, he spent his days playing music on Death’s Hill, longing for companionship. One day, he encountered three mysterious maidens dancing and playing music, who vanished as quickly as they appeared, leaving Kapetanakis yearning for their return. On their third visit, he managed to capture one of the maidens by seizing her veil. She revealed herself to be a fairy and agreed to marry him under the condition that she would never speak again. They lived together in silence, with their fairy child, for three years. Desperate to hear her voice, Kapetanakis devised a plan to scare her into speaking by pretending to throw their child into a fire. Instead, she rescued the child and fled, disappearing forever. Kapetanakis spent years searching for them in vain. Eventually, he returned to play his lyre on Death’s Hill one last time before disappearing, leaving behind a legacy of his sorrowful music.",kapetanakis,victim,none,loneliness and the consequences of desire,1,The pursuit of unattainable desires can lead to irreversible loss and eternal sorrow,Respecting others' autonomy,Forcing one's desires upon others
27,40,"A wealthy farmer, proud of his abundant crops, livestock, and wealth, is confronted by his conscience, questioning his generosity and kindness towards his family and the poor. Following this introspection, a poor neighbor asks for his help, and the farmer, touched by mercy, not only agrees to help but offers more than asked, with a peculiar condition that the neighbor watches over his grave for three nights after his death. The farmer dies suddenly, and the neighbor, honoring his promise, encounters a soldier at the graveyard who agrees to share the watch. The Devil appears, claiming the farmer's soul, but the soldier cleverly tricks the Devil into leaving behind a substantial amount of gold by using a boot with a cut sole to make it seem bottomless. As dawn breaks, the Devil is forced to flee, leaving the gold behind. The soldier suggests giving his share of the gold to the poor and proposes living a peaceful life with the peasant on the remaining gold, as long as God allows.",rich farmer,victim,devil,generosity and redemption,4,"It's never too late to act with kindness and generosity, and such actions can lead to redemption and positive change in one's life",Generosity,Greed
28,42,"The story unfolds on a night when the narrator visits War Eagle's lodge, where War Eagle shares a tale about the Duck-people and their colorful plumage with his grandchildren. It begins with a description of ducks, geese, and swans migrating to avoid winter, setting the stage for a story from long ago. OLD-man, observing the Duck-people preparing for migration, decides to give them a dance and tricks them into entering a lodge he constructs. Despite warnings from the gray goose and skepticism from the loon, the ducks enter the lodge. OLD-man offers them a pipe, which they accept out of respect, and then proposes to paint them for a Blind-dance. Each bird chooses its colors, and OLD-man paints them accordingly. However, the dance is a ruse for OLD-man to kill the ducks by wringing their necks as they dance with their eyes closed. The loon, peeking, realizes OLD-man's treachery and alerts the others, leading to their escape but not without consequences. The loon's feet become twisted for peeking, and those ducks that peeked end up with permanently red eyes as punishment. The story concludes with the observation that the ducks still bear the vibrant colors OLD-man painted them with, a testament to their encounter's lasting impact.",war eagle,none,old man,deception,2,"Be cautious and discerning, as not everyone who offers friendship or entertainment has good intentions",Caution and discernment,Deception
29,43,"In this story, God and the devil embark on a journey together, during which God decides to create land from a handful of sand from the sea, instructing the devil to collect it in His name. The devil, attempting to claim the sand in his own name, fails initially but eventually brings up a small amount under his nails by correctly invoking God's name, leading to the creation of a minimal amount of land. As they rest on this land, the devil tries to push God into the water to expand the land further in all directions. After ascending to heaven, the devil, seeking praise like God receives from angels, is advised by God to wash and sprinkle water behind him, inadvertently creating a multitude of devils. This overcrowding in heaven prompts God to command St. Ilya to unleash a storm, casting the devils down to Earth, and when angels begin to fall too, the storm is stopped, leaving the devils stranded on Earth and explaining the presence of bright little fires in the heavens that occasionally fall to Earth.",god,hero,devil,creation of land and the struggle between good and evil,3,"Deceit and disobedience can lead to unintended consequences, while faith and adherence to divine instructions bring about creation and order",Obedience to divine will,Disobedience to divine commands
30,49,"In a mansion adorned with architectural beauty, dogs and cats lived together in harmony due to the strict rules and arrangements made by their lord, which quelled their ancient feuds. This peace was maintained until a show of favoritism, involving a special plate or bone, disrupted their equality and reignited old grievances. The slighted party felt indignant, leading to a fierce conflict that divided the household. Amidst this chaos, an attempt to restore peace by referring to the original decrees failed because mice had destroyed the document, sparking another conflict, this time with the mice, who were targeted by the cats with old grudges. The lord of the mansion did not mourn the loss of the mice, highlighting the inevitability of conflict in nature. The story concludes with a reflection on the pervasive presence of adversaries and the acceptance of God’s creation as inherently good, despite the reasons behind such conflicts remaining a mystery.",narrator,none,none,conflict and disruption of harmony,2,"Conflicts and adversaries are inherent parts of life, and attempts to establish harmony can be fragile and easily disrupted by minor grievances or misunderstandings",Seeking harmony,Allowing minor grievances to disrupt peace
31,50,"In this story, Raven, observing Man's loneliness, creates a woman to be his companion, thus beginning the population of the earth with humans. Raven, acting as a provider and teacher, then introduces various elements to enrich their world, including making animals, fish, and insects, and teaching Man and his companion how to live, hunt, and build. He also introduces the concept of growth and development by rapidly aging their children to adulthood within days. Raven's creations are not only for sustenance and companionship but also to instill a sense of caution and respect for nature, as seen when he creates the bear as a creature to be feared. The narrative encapsulates the themes of creation, education, and the balance between nurturing and the dangers present in the natural world, all under the guidance of Raven, who shapes the environment and its inhabitants to ensure the survival and prosperity of Man and his companion.",raven,hero,none,creation and guidance,5,"Companionship, knowledge, and respect for nature are essential for the prosperity and survival of humanity",Nurturing and teaching,Disregarding the balance of nature
32,51,"In the week before Christmas, the dolls in a toy shop decided to have a party before being bought by children. The idea was proposed by a Parisian doll, who suggested they dance, while a rag doll, previously unpopular among the toys, offered to prepare the supper after having taken cooking lessons. Despite skepticism from Old Mother Hubbard about her culinary skills, the rag doll managed to impress by giving French names to the simple candy dishes she prepared. The dolls faced challenges finding suitable music to dance to, with a toy piano and a music box providing less than ideal tunes. A boy doll could only dance if his string was pulled, leading to a comical situation with a toy monkey. The supper consisted of candy, which displeased Patsy McQuirk for the lack of potatoes, leading him to rudely smoke his pipe, causing discomfort among the dolls. The evening ended with the dolls trying to avoid the smoke and calming crying baby dolls with candy. The next morning, evidence of the dolls' activities was discovered by a little girl, though adults dismissed it, not understanding the dolls as well as children do.",none,none,none,dolls' party,4,"Imagination and playfulness can bring inanimate objects to life, creating magical and memorable experiences",Imagination and collaboration,Being uncivil in company
